Filename,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,NPofB10,NPofB15,NPofB20,NPofB25,NPofB30,NPofB35,NPofB40,NPofB45,NPofB50,NPofB55,NPofB60,NPofB65,NPofB70,NPofB75,NPofB80,NPofB85,NPofB90,NPofB95,NPofB100,NAverage_Pofb
Keymind-A_5_4_kStar.csv,0.173076923,0.211538462,0.269230769,0.346153846,0.403846154,0.576923077,0.596153846,0.673076923,0.711538462,0.75,0.788461538,0.807692308,0.903846154,0.942307692,0.961538462,0.980769231,0.980769231,1,1,0.688259109,0.30952381,0.404761905,0.476190476,0.547619048,0.642857143,0.642857143,0.714285714,0.738095238,0.761904762,0.857142857,0.904761905,0.928571429,0.952380952,0.976190476,0.976190476,0.976190476,0.976190476,1,1,0.778195489
Keymind-A_5_4_logistic.csv,0.153846154,0.192307692,0.269230769,0.307692308,0.365384615,0.442307692,0.5,0.557692308,0.615384615,0.653846154,0.692307692,0.788461538,0.807692308,0.826923077,0.903846154,0.903846154,0.942307692,0.942307692,1,0.624493927,0.261904762,0.357142857,0.476190476,0.547619048,0.642857143,0.69047619,0.714285714,0.714285714,0.761904762,0.80952381,0.833333333,0.904761905,0.904761905,0.952380952,0.976190476,0.976190476,1,1,1,0.764411028
Keymind-A_5_4_naiveBayes.csv,0.153846154,0.211538462,0.307692308,0.384615385,0.423076923,0.519230769,0.557692308,0.615384615,0.673076923,0.730769231,0.788461538,0.846153846,0.865384615,0.923076923,0.942307692,1,1,1,1,0.681174089,0.261904762,0.380952381,0.476190476,0.571428571,0.666666667,0.69047619,0.69047619,0.761904762,0.80952381,0.857142857,0.904761905,0.952380952,0.952380952,0.976190476,1,1,1,1,1,0.786967419
Keymind-A_5_4_randomForest.csv,0.173076923,0.288461538,0.365384615,0.480769231,0.596153846,0.653846154,0.711538462,0.75,0.788461538,0.865384615,0.903846154,0.923076923,0.942307692,0.980769231,1,1,1,1,1,0.759109312,0.30952381,0.428571429,0.523809524,0.595238095,0.642857143,0.714285714,0.785714286,0.833333333,0.880952381,0.904761905,0.928571429,0.952380952,0.952380952,0.976190476,1,1,1,1,1,0.812030075
Keymind-A_5_4_smo.csv,0.25,0.365384615,0.5,0.519230769,0.557692308,0.576923077,0.615384615,0.653846154,0.673076923,0.692307692,0.692307692,0.75,0.807692308,0.942307692,0.961538462,1,1,1,1,0.713562753,0.166666667,0.30952381,0.476190476,0.5,0.547619048,0.571428571,0.619047619,0.666666667,0.69047619,0.714285714,0.714285714,0.785714286,0.857142857,0.928571429,0.952380952,1,1,1,1,0.710526316
Keymind-B_5_1_bayesNet.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_begging.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_decisionTable.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_ibk.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_j48.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_kStar.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_logistic.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_naiveBayes.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_randomForest.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_1_smo.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keymind-B_5_2_bayesNet.csv,0.125,0.125,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.875,0.875,0.875,1,1,1,1,0.644736842,0,0,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.8,0.8,0.8,1,1,1,1,0.547368421
